grid,val,geometry,Day_Total,val_normalized,day_total_normalized,result
다사620212,0.17722574141038588,"POLYGON ((127.07129215837595 37.28896419069774, 127.07128704417433 37.28986556425035, 127.07241520743734 37.28986964508134, 127.07242030818186 37.288968271396364, 127.07129215837595 37.28896419069774))",395.0392623,0.2493573264781491,0.008918709585605032,0.17722574141038588
다사605154,0.22503404002470356,"POLYGON ((127.05467786567397 37.23662190500544, 127.05467256332481 37.23752328454741, 127.05579994359779 37.23752751868751, 127.05580523252472 37.23662613900814, 127.05467786567397 37.23662190500544))",479.4615573,0.31683804627249357,0.010824692113193594,0.22503404002470356
다사610161,0.10188433622441359,"POLYGON ((127.06027805071632 37.24295262637918, 127.06027281384694 37.243854005637495, 127.06140028926372 37.24385818706719, 127.06140551270663 37.24295680767319, 127.06027805071632 37.24295262637918))",762.1361475,0.13817480719794342,0.017206570619510645,0.10188433622441359
다사618165,0.1834752978735774,"POLYGON ((127.06927723391583 37.246591296682276, 127.06927210354507 37.24749267646373, 127.07039963451736 37.24749677254896, 127.07040475145921 37.24659539263461, 127.06927723391583 37.246591296682276))",387.8572405,0.2583547557840617,0.008756562749114028,0.1834752978735774
다사619165,0.09479939128051722,"POLYGON ((127.07040475145921 37.24659539263461, 127.07039963451736 37.24749677254896, 127.07152716571746 37.247500857898274, 127.07153226923033 37.24659947785135, 127.07040475145921 37.24659539263461))",446.7147268,0.13110539845758354,0.010085374534029178,0.09479939128051722
다사589220,0.00033782713495691654,"POLYGON ((127.03627537246335 37.296043306434065, 127.03626983912734 37.29694467460402, 127.03739810272936 37.2969490898993, 127.03740362260383 37.29604772158615, 127.03627537246335 37.296043306434065))",49.87828523,0.0,0.0011260904498563884,0.00033782713495691654
다사600188,0.13718387216515374,"POLYGON ((127.04885833917936 37.267247377370396, 127.04885296158676 37.26814875152065, 127.04998079738299 37.26815304405363, 127.0499861615331 37.267251669764114, 127.04885833917936 37.267247377370396))",1058.760765,0.18573264781491,0.023903395649055754,0.13718387216515374
다사603159,0.0795495153353864,"POLYGON ((127.05239648434105 37.24112029975371, 127.05239115396131 37.242021678328875, 127.05351860088162 37.24202593462353, 127.05352391783617 37.24112455591027, 127.05239648434105 37.24112029975371))",1914.732104,0.09511568123393316,0.043228461572110646,0.0795495153353864
다사623183,0.03135925416760575,"POLYGON ((127.07482365134459 37.26283649591692, 127.07481858406011 37.26373787387274, 127.07594635798938 37.26374191863983, 127.07595141183407 37.26284054055279, 127.07482365134459 37.26283649591692))",445.4951093,0.04048843187660668,0.010057839513270252,0.03135925416760575
다사608158,0.11181528467382562,"POLYGON ((127.05803891719667 37.24024009380201, 127.05803365417724 37.24114147320244, 127.05916108884969 37.241145675691946, 127.05916633844444 37.24024429615515, 127.05803891719667 37.24024009380201))",1099.228033,0.14910025706940874,0.02481701575079836,0.11181528467382562
다사621177,0.12284317493077018,"POLYGON ((127.07259869126501 37.25742010536416, 127.07259359846147 37.25832148388546, 127.07372129130954 37.25832554934552, 127.07372637067697 37.257424170692325, 127.07259869126501 37.25742010536416))",269.8571684,0.17287917737789202,0.0060925025541526045,0.12284317493077018
다사620213,0.32150412745394835,"POLYGON ((127.07128704417433 37.28986556425035, 127.07128192974504 37.29076693766475, 127.07241010646572 37.290771018628114, 127.07241520743734 37.28986964508134, 127.07128704417433 37.28986556425035))",176.5301672,0.4575835475578406,0.003985480544866587,0.32150412745394835
다사601211,0.5319899086886132,"POLYGON ((127.04986272564742 37.28798324344675, 127.04985735600236 37.28888461455651, 127.05098550138024 37.28888889954147, 127.05099085756902 37.28798752829273, 127.04986272564742 37.28798324344675))",899.1788798,0.7512853470437018,0.02030055252674021,0.5319899086886132
다사596232,0.17405800128674329,"POLYGON ((127.04410784334152 37.30689040750546, 127.04410240133002 37.30779177501091, 127.04523082822571 37.30779611671106, 127.04523625676842 37.306894749064824, 127.04410784334152 37.30689040750546))",193.0241803,0.2467866323907455,0.004357862044071471,0.17405800128674329
다사591174,0.08068598742357136,"POLYGON ((127.03878490318841 37.25458902751636, 127.03877940803949 37.25549040233325, 127.03990705352062 37.25549478956714, 127.03991253523554 37.254593414607875, 127.03878490318841 37.25458902751636))",2547.472869,0.09061696658097686,0.05751370272295856,0.08068598742357136
다사628187,0.21279903485548077,"POLYGON ((127.08044245435778 37.26646212528224, 127.08043745338182 37.267363503338096, 127.08156528219513 37.267367494911895, 127.08157026972893 37.266466116726534, 127.08044245435778 37.26646212528224))",665.6616394,0.29755784061696655,0.015028488078680628,0.21279903485548077
다사598194,0.010985608684554367,"POLYGON ((127.04657026471628 37.27264700150299, 127.04656485879504 37.27354837454418, 127.04769277477932 37.27355268940459, 127.0476981672545 37.27265131622342, 127.04657026471628 37.27264700150299))",559.2275683,0.010282776349614395,0.012625550799414305,0.010985608684554367
다사610190,0.10466360097393033,"POLYGON ((127.06012608682225 37.269092568766496, 127.06012084318827 37.26999394401722, 127.06124870823248 37.269998129383204, 127.06125393842264 37.26909675399669, 127.06012608682225 37.269092568766496))",1039.637022,0.13946015424164523,0.023471643349262265,0.10466360097393033
다사597200,0.03769895527916271,"POLYGON ((127.04540984259609 37.27805091136834, 127.04540442178113 37.278952283439644, 127.04653241821362 37.278956609887956, 127.04653782557892 37.278055237676305, 127.04540984259609 37.27805091136834))",3639.830601,0.018637532133676093,0.08217560928529817,0.03769895527916271
다사601199,0.058643068256942155,"POLYGON ((127.04992714274672 37.277166779345514, 127.04992177596934 37.27806815211435, 127.05104975991144 37.27807243543173, 127.05105511323974 37.277171062523934, 127.04992714274672 37.277166779345514))",1152.74735,0.07262210796915167,0.026025308928453308,0.058643068256942155
다사619186,0.220954788790098,"POLYGON ((127.07029724783418 37.26552434182244, 127.07029212610688 37.266425718835336, 127.07141993945298 37.26642980696919, 127.07142504773877 37.26552842982367, 127.07029724783418 37.26552434182244))",342.1299727,0.31233933161953725,0.0077241888547397615,0.220954788790098
다사595164,0.0937205322484137,"POLYGON ((127.04334983364684 37.24559275000616, 127.04334439465562 37.24649412677271, 127.04447190679548 37.24649846964162, 127.04447733235862 37.245597092734144, 127.04334983364684 37.24559275000616))",221.0062271,0.13174807197943444,0.004989606209365312,0.0937205322484137
다사595185,0.2753240295092768,"POLYGON ((127.04323556397382 37.264521633074125, 127.04323011989598 37.265423006937624, 127.04435791416377 37.26542735276664, 127.04436334480097 37.264525978762144, 127.04323556397382 37.264521633074125))",4317.762787,0.3515424164524421,0.09748112664189124,0.2753240295092768
다사604152,0.10789625686034178,"POLYGON ((127.05356112989215 37.234814901048125, 127.05355581459399 37.23571628072869, 127.05468316778712 37.2357205253253, 127.05468846966424 37.234819145506975, 127.05356112989215 37.234814901048125))",254.9215027,0.15167095115681234,0.005755303501910495,0.10789625686034178
다사611215,0.1547597501259695,"POLYGON ((127.06112311379553 37.29163109719436, 127.06111787778144 37.29253246912532, 127.06224607934836 37.29253664713349, 127.06225130190367 37.29163527506702, 127.06112311379553 37.29163109719436))",1860.373661,0.2030848329048843,0.04200122364183502,0.1547597501259695
다사614161,0.34439942305193866,"POLYGON ((127.06478790007021 37.24296928715035, 127.06478271690673 37.24387066694932, 127.06591019324999 37.24387480544103, 127.06591536298696 37.24297342550777, 127.06478790007021 37.24296928715035))",302.2632241,0.4890745501285347,0.0068241265398812775,0.34439942305193866
다사626166,0.05694497727608102,"POLYGON ((127.07829235766762 37.247525144539104, 127.07828733450508 37.248426525235956, 127.07941488071245 37.24843053556366, 127.0794198904454 37.24752915473668, 127.07829235766762 37.247525144539104))",2031.19078,0.061696658097686374,0.04585772202566853,0.05694497727608102
다사588218,0.005551553337492112,"POLYGON ((127.0351582154235 37.294236144059674, 127.03515266911981 37.29513751236272, 127.03628090555303 37.295141938125795, 127.03628643839639 37.29424056967922, 127.0351582154235 37.294236144059674))",155.4457377,0.006426735218508997,0.003509462281786048,0.005551553337492112
다사597229,0.0021112673399090644,"POLYGON ((127.04525254094654 37.304190645296316, 127.04524711312881 37.30509201335745, 127.04637549986155 37.30509634387714, 127.04638091421225 37.304194975675564, 127.04525254094654 37.304190645296316))",311.7168033,0.0,0.007037557799696882,0.0021112673399090644
다사631218,0.11129813596417586,"POLYGON ((127.08367201827566 37.29441673488642, 127.08366705077586 37.29531810904677, 127.08479529725953 37.29532207237298, 127.08480025129853 37.29442069808409, 127.08367201827566 37.29441673488642))",92.97987425,0.15809768637532132,0.002099185004836481,0.11129813596417586
다사610214,0.30330455552112473,"POLYGON ((127.06000017515967 37.29072553663541, 127.05999492592049 37.291626908568745, 127.06112311379553 37.29163109719436, 127.06112834957656 37.29072972512515, 127.06000017515967 37.29072553663541))",943.3574316,0.4241645244215938,0.021297961420030383,0.30330455552112473
다사609171,0.06795958039018676,"POLYGON ((127.05909807548271 37.25196221935562, 127.05909282284932 37.25286359709605, 127.06022043233034 37.25286779062075, 127.06022567153131 37.251966412744245, 127.05909807548271 37.25196221935562))",1930.48918,0.07840616966580977,0.04358420541373311,0.06795958039018676
다사602192,0.12922302965733695,"POLYGON ((127.05109257986604 37.27086144829866, 127.05108722820562 37.271762822174125, 127.05221511825486 37.27176709377374, 127.0522204564704 37.270865719759676, 127.05109257986604 37.27086144829866))",1278.228006,0.1722365038560411,0.02885825652702725,0.12922302965733695
다사628219,0.14744914295951825,"POLYGON ((127.08028231265415 37.29530615454124, 127.08027730454911 37.29620752817568, 127.08140556382888 37.29621152389493, 127.08141055847258 37.29531015013088, 127.08028231265415 37.29530615454124))",515.3194262,0.2056555269922879,0.011634246883055765,0.14744914295951825
다사617164,0.2080404911856363,"POLYGON ((127.06815486017159 37.24568581020804, 127.06814971660084 37.246587189994365, 127.06927723391583 37.246591296682276, 127.06928236405824 37.24568991676268, 127.06815486017159 37.24568581020804))",826.5623497,0.28920308483290486,0.018661106008676362,0.2080404911856363
다사611156,0.056378294138677267,"POLYGON ((127.06143162643396 37.238449908630656, 127.06142640415341 37.23935128871549, 127.06255381267633 37.239355458734046, 127.06255902153337 37.23845407851388, 127.06143162643396 37.238449908630656))",1150.471147,0.06940874035989716,0.025973919622497517,0.056378294138677267
다사622167,0.08049403950036431,"POLYGON ((127.07377715191757 37.2484103765619, 127.07377207481063 37.24931175659661, 127.0748996335502 37.24931581000112, 127.07490469722696 37.24841442983489, 127.07377715191757 37.2484103765619))",526.5027322,0.10989717223650385,0.011886729782705394,0.08049403950036431
다사593227,0.0019075236710205442,"POLYGON ((127.0407500129454 37.30237048079526, 127.04074453174775 37.30327184856778, 127.04187289057695 37.30327622183612, 127.04187835830881 37.30237485392176, 127.0407500129454 37.30237048079526))",281.6351912,0.0,0.006358412236735148,0.0019075236710205442
다사600228,0.0953908409970404,"POLYGON ((127.04864304864296 37.303302235541075, 127.04863766146616 37.304203604160776, 127.04976603545316 37.304207902266754, 127.04977140916353 37.30330653350766, 127.04864304864296 37.303302235541075))",334.7759563,0.13303341902313623,0.007558158936150132,0.0953908409970404
다사612176,0.0055520765920019375,"POLYGON ((127.06245480032686 37.25648165666476, 127.06244958683055 37.25738303412144, 127.06357726418072 37.257387196107366, 127.06358246424158 37.256485818515664, 127.06245480032686 37.25648165666476))",288.365,0.005141388174807198,0.006510349565456331,0.0055520765920019375
다사605195,0.13319523349925425,"POLYGON ((127.0544602757051 37.27357835290285, 127.05445496367007 37.27447972677831, 127.05558289476888 37.2744839665548, 127.05558819335715 37.2735825925418, 127.0544602757051 37.27357835290285))",71.33457534,0.1895886889460154,0.0016105041234781646,0.13319523349925425
다사627175,0.11339860595191513,"POLYGON ((127.0793747948199 37.25564157720676, 127.07936978307957 37.25654295679054, 127.0804974504035 37.256546957550064, 127.08050244870883 37.25564557783649, 127.0793747948199 37.25564157720676))",602.365519,0.15616966580976863,0.013599466283590336,0.11339860595191513
다사608209,0.7039655198329663,"POLYGON ((127.05777020428211 37.28621026702151, 127.05776492930087 37.2871116393733, 127.05889304942318 37.28711584882209, 127.05889831094927 37.28621447633375, 127.05777020428211 37.28621026702151))",585.4868033,0.9999999999999999,0.013218399443221514,0.7039655198329663
다사603215,0.17894069154212935,"POLYGON ((127.05209761737193 37.291597287107145, 127.05209227368796 37.29249865794147, 127.05322047337332 37.2925029219759, 127.05322580359858 37.291601551003275, 127.05209761737193 37.291597287107145))",116.8740217,0.25449871465295626,0.0026386376168665714,0.17894069154212935
다사627169,0.1555164727513275,"POLYGON ((127.07940486057751 37.25023329680323, 127.07939985017552 37.251134677215816, 127.08052743689838 37.25113867719654, 127.08053243386892 37.25023729665417, 127.07940486057751 37.25023329680323))",2104.941527,0.20179948586118251,0.04752277549499917,0.1555164727513275
다사590195,0.07650676908068395,"POLYGON ((127.03754153963462 37.273513468809305, 127.03753602589985 37.274414840579865, 127.03866395338873 37.274419241550014, 127.03866945367693 37.27351786963666, 127.03754153963462 37.273513468809305))",1731.171667,0.09254498714652956,0.03908426026037752,0.07650676908068395
다사624186,0.008704486463219974,"POLYGON ((127.07593624962502 37.265544674399436, 127.07593119510535 37.266446052072, 127.07705900958243 37.2664500864895, 127.07706405066054 37.26554870868605, 127.07593624962502 37.265544674399436))",156.0116393,0.010925449871465294,0.0035222385106475646,0.008704486463219974
