grid,망포1동 행정복지센터,매탄3동 행정복지센터,매탄2동 행정복지센터,광교1동 행정복지센터,영통종합사회복지관,영통2동 행정복지센터,영통1동 행정복지센터,영통3동행정복지센터,광교2동 행정복지센터,광교종합사회복지관,망포2동 주민센터(행정복지센터),영통청소년문화의집(영통청소년청년센터),영통한국문화센터,영통2동문화센터,광교홍재도서관,수원시립영통도서관,수원체육문화센터,광교복합체육센터,영통체육문화센터,영통지구대,수원남부경찰서,영통2치안센터,영통공영주차장,영통우체국앞 노상공영주차장,영통동 동수원세무서앞 노상공영주차장,망포역 공영주차장,영통구보건소,경기남부근로자건강센터,수원여성인력개발센터(영통여성새로일하기센터),수원영통동우체국,수원황곡우체국,geometry
다사621177,2483.004324,2672.28905,2656.994396,4252.509908,887.7992174,1922.520257,1143.770681,924.910525,3814.951878,5176.931123,2863.055152,652.3128157,727.9940482,1955.078297,5509.458317,126.4930005,360.5617581,2703.793303,1289.273534,538.6185684,2315.595732,642.9673979,508.4302443,533.216762,735.3222298,1972.205256,342.1609473,1841.258416,513.8742605,1883.55364,1200.624876,"POLYGON ((127.07259869126501 37.25742010536416, 127.07259359846147 37.25832148388546, 127.07372129130954 37.25832554934552, 127.07372637067697 37.257424170692325, 127.07259869126501 37.25742010536416))"
다사620213,5910.435671,4554.879635,3121.069879,2167.95509,4435.586335,5002.546626,2777.376713,4527.123669,256.5511782,2461.868561,6001.060947,4176.416104,4294.46286,5019.897253,2592.60627,3674.474872,3626.052839,921.5406586,3112.722963,3973.890515,2559.718323,4156.242753,4109.092456,4054.709808,4336.066863,5153.696629,3714.699588,5128.049466,4095.251629,5021.714249,2711.376038,"POLYGON ((127.07128704417433 37.28986556425035, 127.07128192974504 37.29076693766475, 127.07241010646572 37.290771018628114, 127.07241520743734 37.28986964508134, 127.07128704417433 37.28986556425035))"
다사601211,5694.592164,3624.133071,2053.687169,331.3603368,4829.562122,4629.228003,3633.606261,4790.747675,1792.9864,1262.379584,5515.114732,4312.331161,4666.57747,4633.093791,1641.008855,3958.791234,3790.073973,1888.593628,4079.252163,4454.329569,1838.82239,4285.964086,4417.651569,4477.283774,4626.599827,4822.774211,3887.445059,4881.34943,4451.396034,4684.062891,3587.412304,"POLYGON ((127.04986272564742 37.28798324344675, 127.04985735600236 37.28888461455651, 127.05098550138024 37.28888889954147, 127.05099085756902 37.28798752829273, 127.04986272564742 37.28798324344675))"
다사596232,7849.582757,5665.530749,4141.565633,1919.058152,6931.61766,6777.134684,5559.760838,6917.097961,2814.824433,899.6602023,7636.738423,6451.799781,6770.955111,6779.510507,534.4868498,6068.924149,5918.162908,3600.119308,5971.062043,6529.800329,3996.544068,6425.917727,6531.046422,6567.40027,6746.307308,6973.309151,6015.84138,7037.672602,6555.800153,6834.988077,5503.505483,"POLYGON ((127.04410784334152 37.30689040750546, 127.04410240133002 37.30779177501091, 127.04523082822571 37.30779611671106, 127.04523625676842 37.306894749064824, 127.04410784334152 37.30689040750546))"
다사591174,2699.053308,361.5459359,1816.469858,3965.698517,3403.190326,1749.56164,3866.577055,3125.308539,4940.645139,4960.401831,2105.25412,2696.217582,3289.500566,1723.199706,5370.16813,2906.787327,2656.218121,4064.557818,4197.568513,3420.340185,2304.21812,2676.614724,3071.325,3315.884813,3111.21788,1930.009297,2682.972715,2130.794693,3176.449721,1848.526268,3889.323581,"POLYGON ((127.03878490318841 37.25458902751636, 127.03877940803949 37.25549040233325, 127.03990705352062 37.25549478956714, 127.03991253523554 37.254593414607875, 127.03878490318841 37.25458902751636))"
다사628187,3695.080413,3562.333167,3001.344839,3943.878734,1841.320298,3113.292084,78.0496518,2026.552242,2963.966171,4726.173152,4076.977772,1871.276019,1732.913129,3143.851016,4998.060052,1340.885721,1468.447581,1940.581214,466.5565042,1368.0856,2455.469747,1863.312613,1634.074164,1484.366203,1839.05139,3180.865372,1508.871546,3059.607468,1577.190471,3083.822394,35.82662444,"POLYGON ((127.08044245435778 37.26646212528224, 127.08043745338182 37.267363503338096, 127.08156528219513 37.267367494911895, 127.08157026972893 37.266466116726534, 127.08044245435778 37.26646212528224))"
다사598194,4101.026037,1897.384883,334.8886935,1896.864739,3660.952587,3009.710573,3063.229002,3530.382959,2936.589549,2916.078626,3831.877272,3013.802353,3499.616294,3007.820404,3319.553667,2824.146899,2590.495423,2277.667886,3512.522344,3399.360314,627.3574879,2986.251208,3232.988702,3373.022056,3403.19024,3212.697571,2677.536454,3306.443957,3298.752403,3077.299807,3046.96993,"POLYGON ((127.04657026471628 37.27264700150299, 127.04656485879504 37.27354837454418, 127.04769277477932 37.27355268940459, 127.0476981672545 37.27265131622342, 127.04657026471628 37.27264700150299))"
다사610190,3523.189372,2142.775326,1180.090019,2576.470588,2568.51965,2533.3249,1802.788961,2508.659399,2645.011667,3541.068271,3513.584654,2026.769999,2404.362956,2546.678213,3899.125988,1697.391566,1509.724887,1630.762328,2248.559959,2234.906033,650.8868702,2000.449351,2147.628157,2235.60294,2349.550598,2702.152467,1606.438336,2712.794944,2191.267123,2565.302368,1790.261809,"POLYGON ((127.06012608682225 37.269092568766496, 127.06012084318827 37.26999394401722, 127.06124870823248 37.269998129383204, 127.06125393842264 37.26909675399669, 127.06012608682225 37.269092568766496))"
다사597200,4705.039672,2476.252865,942.3429188,1303.148554,4161.703626,3615.495596,3357.167907,4056.593817,2622.096025,2316.27392,4439.14939,3546.1163,3998.255223,3614.201509,2722.329652,3303.799157,3086.937239,2185.870112,3816.161983,3862.381469,1010.02413,3518.620673,3733.988825,3851.091685,3917.574215,3817.670238,3178.706359,3906.659925,3790.796133,3681.674144,3329.968401,"POLYGON ((127.04540984259609 37.27805091136834, 127.04540442178113 37.278952283439644, 127.04653241821362 37.278956609887956, 127.04653782557892 37.278055237676305, 127.04540984259609 37.27805091136834))"
다사601199,4512.956599,2454.11816,879.4054513,1421.729224,3828.188133,3438.219241,2951.896043,3743.049159,2372.486439,2439.69631,4314.779017,3241.013307,3664.072997,3440.771091,2832.051926,2961.655034,2757.304933,1818.060367,3411.398677,3507.602478,688.3213096,3213.763519,3402.842856,3504.703618,3595.185279,3634.556466,2851.563878,3703.329857,3453.322036,3496.350141,2923.238997,"POLYGON ((127.04992714274672 37.277166779345514, 127.04992177596934 37.27806815211435, 127.05104975991144 37.27807243543173, 127.05105511323974 37.277171062523934, 127.04992714274672 37.277166779345514))"
